confirmed,deaths,deaths_comorbid,teryt_id,date,NUTS2,region
572,1,1,t10,2020-12-13,PL71,Łódzkie
310,19,17,t12,2020-12-13,PL21,Małopolskie
1280,24,10,t14,2020-12-13,PL9,Mazowieckie
133,0,0,t16,2020-12-13,PL52,Opolskie
204,5,2,t18,2020-12-13,PL82,Podkarpackie
231,8,6,t20,2020-12-13,PL84,Podlaskie
1003,3,3,t22,2020-12-13,PL63,Pomorskie
668,17,14,t24,2020-12-13,PL22,Śląskie
132,1,1,t26,2020-12-13,PL72,Świętokrzyskie
646,30,24,t28,2020-12-13,PL62,Warmińsko-Mazurskie
1132,31,19,t30,2020-12-13,PL41,Wielkopolskie
593,16,15,t32,2020-12-13,PL42,Zachodniopomorskie
698,34,28,t02,2020-12-12,PL51,Dolnośląskie
1083,47,36,t04,2020-12-12,PL61,Kujawsko-Pomorskie
745,23,18,t06,2020-12-12,PL81,Lubelskie
373,12,6,t08,2020-12-12,PL43,Lubuskie
695,35,27,t10,2020-12-12,PL71,Łódzkie
404,22,15,t12,2020-12-12,PL21,Małopolskie
1522,75,48,t14,2020-12-12,PL9,Mazowieckie
315,8,6,t16,2020-12-12,PL52,Opolskie
525,23,19,t18,2020-12-12,PL82,Podkarpackie
356,13,7,t20,2020-12-12,PL84,Podlaskie
752,32,25,t22,2020-12-12,PL63,Pomorskie
993,62,54,t24,2020-12-12,PL22,Śląskie
183,15,13,t26,2020-12-12,PL72,Świętokrzyskie
736,26,21,t28,2020-12-12,PL62,Warmińsko-Mazurskie
1032,58,31,t30,2020-12-12,PL41,Wielkopolskie
973,17,17,t32,2020-12-12,PL42,Zachodniopomorskie
797,49,46,t02,2020-12-11,PL51,Dolnośląskie
1002,52,36,t04,2020-12-11,PL61,Kujawsko-Pomorskie
639,15,10,t06,2020-12-11,PL81,Lubelskie
447,18,7,t08,2020-12-11,PL43,Lubuskie
838,41,31,t10,2020-12-11,PL71,Łódzkie
472,27,13,t12,2020-12-11,PL21,Małopolskie
1722,58,47,t14,2020-12-11,PL9,Mazowieckie
337,13,12,t16,2020-12-11,PL52,Opolskie
260,36,28,t18,2020-12-11,PL82,Podkarpackie
308,40,23,t20,2020-12-11,PL84,Podlaskie
1147,22,18,t22,2020-12-11,PL63,Pomorskie
1080,68,63,t24,2020-12-11,PL22,Śląskie
218,9,9,t26,2020-12-11,PL72,Świętokrzyskie
1198,17,17,t28,2020-12-11,PL62,Warmińsko-Mazurskie
1411,49,24,t30,2020-12-11,PL41,Wielkopolskie
1110,30,28,t32,2020-12-11,PL42,Zachodniopomorskie
985,24,17,t02,2020-12-10,PL51,Dolnośląskie
1404,35,32,t04,2020-12-10,PL61,Kujawsko-Pomorskie
618,33,21,t06,2020-12-10,PL81,Lubelskie
467,17,5,t08,2020-12-10,PL43,Lubuskie
863,67,54,t10,2020-12-10,PL71,Łódzkie
488,27,16,t12,2020-12-10,PL21,Małopolskie
1701,48,30,t14,2020-12-10,PL9,Mazowieckie
493,14,13,t16,2020-12-10,PL52,Opolskie
406,33,25,t18,2020-12-10,PL82,Podkarpackie
364,5,3,t20,2020-12-10,PL84,Podlaskie
887,19,14,t22,2020-12-10,PL63,Pomorskie
1251,47,46,t24,2020-12-10,PL22,Śląskie
215,14,14,t26,2020-12-10,PL72,Świętokrzyskie
897,30,28,t28,2020-12-10,PL62,Warmińsko-Mazurskie
1672,49,31,t30,2020-12-10,PL41,Wielkopolskie
956,8,8,t32,2020-12-10,PL42,Zachodniopomorskie
813,50,35,t02,2020-12-09,PL51,Dolnośląskie
